aprueba,created_at
TRUE,5:57:12 PM
TRUE,1:48:33 AM
FALSE,10:05:44 PM
TRUE,10:26:02 PM
FALSE,10:32:35 PM
TRUE,11:01:00 PM
TRUE,7:42:35 AM
TRUE,10:40:01 AM
FALSE,7:37:58 AM
FALSE,7:25:49 PM
TRUE,10:26:38 PM
FALSE,11:27:48 AM
FALSE,12:25:18 PM
FALSE,8:20:56 AM
FALSE,10:30:09 PM
TRUE,4:18:29 PM
FALSE,5:04:59 PM
TRUE,8:27:09 PM
TRUE,12:57:12 AM
FALSE,1:40:14 AM
TRUE,10:50:16 AM
TRUE,12:46:13 PM
TRUE,12:45:49 PM
FALSE,2:00:17 PM
FALSE,2:38:32 PM
TRUE,3:54:47 PM
TRUE,4:56:40 PM
TRUE,8:51:21 AM
TRUE,7:06:43 PM
TRUE,6:16:04 PM
TRUE,3:48:39 PM
TRUE,2:16:34 PM
TRUE,5:30:35 PM
FALSE,6:48:01 PM
TRUE,6:55:58 PM
TRUE,4:30:29 PM
TRUE,12:15:17 AM
TRUE,12:36:48 AM
TRUE,1:02:04 PM
TRUE,4:34:21 PM
TRUE,3:48:16 PM
TRUE,5:32:50 PM
TRUE,10:29:56 PM
TRUE,4:31:36 PM
TRUE,5:23:58 PM
TRUE,6:25:35 PM
TRUE,6:55:01 PM
TRUE,6:53:44 PM
TRUE,7:22:33 PM
FALSE,7:26:16 PM
TRUE,7:46:16 PM
FALSE,8:00:40 PM
TRUE,10:43:07 PM
TRUE,4:13:53 PM
TRUE,6:10:33 PM
TRUE,9:44:06 AM
TRUE,11:20:47 AM
FALSE,9:45:54 PM
FALSE,11:07:35 AM
TRUE,12:00:35 PM
TRUE,4:42:08 PM
FALSE,5:06:49 PM
TRUE,4:24:16 PM
FALSE,5:26:44 PM
FALSE,5:35:24 PM
TRUE,5:41:54 PM
FALSE,8:17:37 PM
TRUE,1:12:51 AM
TRUE,4:55:12 PM
TRUE,1:10:07 PM
TRUE,2:13:56 PM
TRUE,3:43:03 PM
TRUE,9:32:21 PM
TRUE,9:36:20 PM
TRUE,4:47:34 PM
TRUE,4:10:12 PM
TRUE,4:48:41 PM
TRUE,4:41:32 PM
TRUE,7:09:01 PM
TRUE,7:36:58 PM
TRUE,7:51:04 PM
FALSE,8:00:27 PM
TRUE,8:07:34 PM
TRUE,9:10:06 PM
TRUE,9:11:51 PM
TRUE,9:18:04 PM
TRUE,10:26:24 PM
FALSE,11:56:40 PM
TRUE,1:31:16 PM
TRUE,1:38:58 PM
FALSE,2:04:39 PM
TRUE,2:33:03 PM
FALSE,4:49:01 PM
TRUE,7:08:14 PM
TRUE,7:09:42 PM
TRUE,5:29:18 PM
TRUE,9:36:52 PM
TRUE,5:35:14 PM
FALSE,7:55:00 PM
TRUE,10:31:29 AM
FALSE,3:41:01 PM
TRUE,6:23:30 AM
TRUE,8:00:45 AM
TRUE,9:58:15 AM
TRUE,10:05:08 AM
TRUE,9:52:40 AM
TRUE,10:49:30 AM
FALSE,11:01:03 AM
TRUE,11:22:28 AM
FALSE,12:18:55 PM
FALSE,12:24:24 PM
TRUE,7:59:10 PM
FALSE,3:29:51 PM
TRUE,4:37:39 PM
TRUE,4:45:04 PM
FALSE,4:52:57 PM
TRUE,5:13:00 PM
TRUE,5:20:09 PM
TRUE,5:27:12 PM
FALSE,5:18:31 PM
FALSE,7:07:43 PM
TRUE,7:09:24 PM
FALSE,7:26:08 PM
TRUE,5:14:42 PM
FALSE,1:38:29 PM
FALSE,10:19:12 PM
TRUE,1:45:50 AM
FALSE,1:53:06 AM
FALSE,1:55:10 AM
FALSE,2:02:16 PM
FALSE,2:06:35 PM
FALSE,6:53:19 AM
TRUE,10:37:31 PM
TRUE,2:51:11 PM
TRUE,4:44:24 PM
FALSE,6:23:25 PM
FALSE,9:24:19 AM
TRUE,7:33:17 PM
TRUE,7:38:29 PM
TRUE,7:43:22 PM
TRUE,5:08:55 PM
TRUE,3:49:41 PM
FALSE,4:51:36 PM
FALSE,9:07:33 PM
TRUE,10:12:51 PM
TRUE,10:18:23 PM
TRUE,10:22:35 PM
TRUE,11:26:06 AM
TRUE,3:09:21 PM
TRUE,3:59:21 PM
TRUE,10:00:04 PM
FALSE,10:27:52 PM
TRUE,6:25:57 PM
TRUE,7:51:51 PM
TRUE,10:08:19 PM
TRUE,10:16:32 PM
TRUE,1:25:04 AM
TRUE,3:10:56 PM
FALSE,7:47:19 PM
TRUE,12:21:16 AM
FALSE,12:15:33 PM
FALSE,7:46:37 PM
FALSE,9:45:53 PM
FALSE,10:16:47 PM
TRUE,12:44:46 PM
TRUE,2:14:17 PM
TRUE,2:14:20 PM
FALSE,2:17:03 PM
FALSE,2:46:23 PM
TRUE,3:27:09 PM
TRUE,9:53:30 PM
FALSE,9:54:54 PM
TRUE,10:06:59 PM
TRUE,12:21:17 PM
TRUE,6:11:00 PM
TRUE,11:18:36 PM
TRUE,1:40:24 PM
TRUE,1:41:53 PM
FALSE,1:45:12 PM
FALSE,9:56:51 AM
TRUE,7:57:39 PM
FALSE,11:18:58 PM
FALSE,9:19:47 PM
TRUE,10:13:35 PM
TRUE,10:36:55 AM
TRUE,12:33:54 PM
TRUE,2:07:17 PM
TRUE,7:02:14 PM
FALSE,7:24:51 AM
TRUE,1:21:26 PM
TRUE,5:57:35 PM
TRUE,11:23:43 AM
TRUE,1:45:34 PM
FALSE,6:03:07 PM
TRUE,5:40:56 PM
TRUE,11:05:53 AM
TRUE,12:43:58 PM
TRUE,2:10:55 PM
TRUE,7:21:16 PM
TRUE,11:19:43 PM
TRUE,11:22:57 PM
FALSE,12:08:10 AM
TRUE,9:02:42 PM
TRUE,9:01:08 PM
FALSE,8:04:11 AM
TRUE,10:40:52 PM
FALSE,10:58:21 PM
TRUE,2:37:52 PM
FALSE,12:44:53 AM
TRUE,1:44:25 PM
TRUE,8:54:43 PM
TRUE,9:21:07 AM
TRUE,9:49:01 AM
TRUE,1:32:18 PM
TRUE,1:30:32 PM
TRUE,6:48:39 PM
FALSE,7:04:31 PM
FALSE,12:32:11 AM
TRUE,10:13:22 PM
TRUE,10:17:45 AM
TRUE,6:07:52 PM
TRUE,11:01:06 PM
FALSE,12:16:18 PM
TRUE,4:44:38 PM
FALSE,11:23:04 AM
FALSE,7:41:45 PM
TRUE,1:18:38 PM
TRUE,1:24:11 PM
TRUE,1:59:36 PM
TRUE,3:53:39 PM
TRUE,4:17:58 PM
TRUE,5:16:50 PM
TRUE,7:28:35 PM
TRUE,10:55:49 AM
FALSE,10:53:37 PM
TRUE,1:50:44 AM
TRUE,1:52:07 AM
TRUE,7:03:14 AM
TRUE,3:06:06 PM
TRUE,10:04:50 PM
TRUE,10:40:48 PM
TRUE,10:56:45 PM
TRUE,10:40:02 AM
FALSE,7:37:35 PM
TRUE,11:10:50 AM
TRUE,11:12:57 AM
FALSE,11:34:29 AM
TRUE,11:40:54 AM
